"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jan 2024 09:00:00.000,-6023.382815,-1169.994240,-3742.501344,3.503959,2.059760,-6.255137
1 Jan 2024 18:09:42.210,6917.466267,2100.135407,-16.101934,0.372109,-1.088057,7.329252
2 Jan 2024 06:00:59.793,6899.835043,2159.924424,-16.095453,0.381073,-1.084954,7.328452
2 Jan 2024 09:00:00.000,142.465775,1211.289281,-7085.017264,7.113976,2.160192,0.492614
2 Jan 2024 18:43:05.776,-6842.377912,-2225.964237,103.453197,-0.436170,1.072610,-7.362618
3 Jan 2024 09:00:00.000,6102.535613,2523.906250,-2920.438944,3.241890,-0.021152,6.681059
3 Jan 2024 11:39:13.741,-6813.586072,-2309.350905,100.916633,-0.447589,1.068146,-7.363708
4 Jan 2024 05:26:10.095,6824.064394,2397.482338,-15.958240,0.416369,-1.071899,7.325371
4 Jan 2024 09:00:00.000,5664.138051,1283.731529,4323.805440,-3.913076,-2.354560,5.827661
4 Jan 2024 16:26:39.263,-6762.421972,-2450.225789,96.177574,-0.466549,1.060382,-7.365473
5 Jan 2024 05:08:45.210,6783.023729,2515.249468,-15.828928,0.433720,-1.065018,7.323920
5 Jan 2024 09:00:00.000,-606.390342,-1411.092111,7061.475150,-6.925537,-2.403310,-1.099297
5 Jan 2024 17:00:02.749,6761.720927,2573.854687,-15.769422,0.442327,-1.061472,7.323221
6 Jan 2024 04:00:31.885,-6695.304194,-2622.625387,89.847922,-0.489438,1.050468,-7.367581
6 Jan 2024 09:00:00.000,-6160.778476,-2832.913634,2414.417004,-2.731519,0.093994,-6.930724
6 Jan 2024 12:28:35.837,-6678.705030,-2663.405338,88.236751,-0.494781,1.048066,-7.368055
6 Jan 2024 18:24:14.600,6714.358839,2698.813583,-15.670231,0.460651,-1.053681,7.321734
7 Jan 2024 06:15:32.116,6691.444073,2756.831581,-15.629657,0.469131,-1.049937,7.321061
7 Jan 2024 09:00:00.000,-5193.460749,-1336.705285,-4778.311493,4.315943,2.712695,-5.450385
7 Jan 2024 21:30:03.195,6661.206144,2831.134803,-15.568804,0.479978,-1.045051,7.320234
8 Jan 2024 09:00:00.000,1215.784583,1709.423076,-6888.922963,6.727077,2.614207,1.803767
8 Jan 2024 14:26:11.049,6626.625201,2913.283771,-15.510461,0.491946,-1.039506,7.319337
9 Jan 2024 06:31:30.496,-6541.001651,-2977.667248,74.634249,-0.535296,1.028730,-7.371574
9 Jan 2024 09:00:00.000,6277.967173,3156.957949,-1722.910079,2.108514,-0.265460,7.101120
9 Jan 2024 18:22:47.976,-6514.781524,-3033.345348,71.985061,-0.542335,1.025168,-7.372141
9 Jan 2024 23:27:38.322,-6503.410747,-3057.127082,70.821798,-0.545323,1.023636,-7.372377
10 Jan 2024 09:00:00.000,4789.237807,1367.033435,5255.002175,-4.583892,-3.046683,4.950244
10 Jan 2024 12:09:44.159,6528.063876,3132.904739,-15.329636,0.523788,-1.023931,7.317070
11 Jan 2024 06:47:28.706,6485.755463,3221.378289,-15.178464,0.536504,-1.017382,7.316229
11 Jan 2024 09:00:00.000,-1595.845929,-1981.780194,6749.120659,-6.455334,-2.798606,-2.380124
11 Jan 2024 22:01:59.669,6450.210113,3293.355536,-15.148783,0.546920,-1.011874,7.315567
12 Jan 2024 09:00:00.000,-6207.325229,-3433.219183,1148.717041,-1.586599,0.464252,-7.277999
12 Jan 2024 09:53:17.073,6422.001966,3349.032467,-15.029802,0.554880,-1.007574,7.315078
13 Jan 2024 00:16:59.606,-6331.161138,-3393.301581,53.395260,-0.587206,1.001009,-7.375503
13 Jan 2024 09:00:00.000,-4228.613312,-1279.462343,-5667.323301,4.891012,3.449978,-4.449016
13 Jan 2024 12:08:16.984,-6301.554190,-3447.131373,50.352296,-0.593785,0.997246,-7.375931
13 Jan 2024 18:03:55.662,6342.944197,3498.922186,-14.887374,0.576434,-0.995531,7.313818
14 Jan 2024 09:00:00.000,2145.583989,2382.876827,-6465.606411,6.110284,2.902443,3.058539
14 Jan 2024 11:00:03.286,6299.870212,3577.062061,-14.868302,0.587699,-0.989002,7.313207
14 Jan 2024 23:42:08.995,-6210.057743,-3607.095734,41.034716,-0.613270,0.985773,-7.377130
15 Jan 2024 09:00:00.000,6193.335119,3730.457313,-461.571459,1.001278,-0.742621,7.297189
15 Jan 2024 18:19:53.317,-6160.539866,-3689.960280,36.198342,-0.623474,0.979585,-7.377701
16 Jan 2024 09:00:00.000,3806.519894,1217.727152,6027.751892,-5.023146,-3.796966,3.904746
16 Jan 2024 12:57:37.636,-6110.042199,-3772.118775,30.917889,-0.633220,0.973516,-7.378178
16 Jan 2024 22:16:29.767,6141.337645,3846.039207,-14.467294,0.626147,-0.965460,7.311415
17 Jan 2024 09:00:00.000,-2437.160534,-2711.084707,6205.589303,-5.775231,-3.003063,-3.613267
17 Jan 2024 15:12:37.252,6093.841178,3921.577858,-14.313136,0.636912,-0.958508,7.310995
18 Jan 2024 06:27:07.957,6050.275449,3989.040167,-14.219279,0.646564,-0.952136,7.310649
18 Jan 2024 09:00:00.000,-6001.716780,-3936.292359,-180.096540,-0.482162,1.073384,-7.376829
19 Jan 2024 00:14:03.743,-5942.242526,-4029.056443,14.298500,-0.664129,0.953429,-7.379445
19 Jan 2024 09:00:00.000,-3195.048110,-975.634870,-6373.861564,5.199442,4.198578,-3.282144
19 Jan 2024 17:10:11.132,-5892.409742,-4101.148757,9.340232,-0.672681,0.947616,-7.379691
20 Jan 2024 05:52:16.652,5909.776937,4195.667173,-13.956677,0.676184,-0.931741,7.309819
20 Jan 2024 09:00:00.000,2880.624141,3181.202927,-5822.340447,5.315950,2.974186,4.217315
20 Jan 2024 17:43:33.793,5873.501586,4246.526099,-13.808112,0.683419,-0.926559,7.309666
20 Jan 2024 23:39:12.356,-5800.579084,-4229.418447,0.523572,-0.688084,0.936903,-7.380024
21 Jan 2024 08:58:04.374,5826.204347,4311.449700,-13.781477,0.692787,-0.919726,7.309485
21 Jan 2024 09:00:00.000,5865.343546,4175.179861,829.500268,-0.016606,-1.434657,7.259858
21 Jan 2024 20:49:21.482,5788.901993,4361.547120,-13.633644,0.699921,-0.914416,7.309383
22 Jan 2024 06:08:13.481,-5706.057776,-4355.688222,-8.418972,-0.703236,0.926004,-7.380225
22 Jan 2024 09:00:00.000,2778.627769,816.566023,6611.791007,-5.212753,-4.535896,2.709761
22 Jan 2024 17:59:30.552,-5668.593839,-4404.243850,-11.981269,-0.709015,0.921762,-7.380255
23 Jan 2024 09:00:00.000,-3080.291104,-3544.674116,5435.755722,-4.930118,-2.962985,-4.751741
23 Jan 2024 18:32:52.976,5640.823425,4551.709824,-13.521076,0.727454,-0.893175,7.309140
24 Jan 2024 09:00:00.000,-5565.716220,-4274.162636,-1523.789160,0.503845,1.887261,-7.208210
25 Jan 2024 01:52:42.207,-5486.620987,-4628.950205,-28.343371,-0.736285,0.900976,-7.380108
25 Jan 2024 09:00:00.000,-2167.650665,-425.660525,-6864.996993,5.233411,4.880662,-1.992930
25 Jan 2024 18:48:49.313,-5429.800294,-4695.636195,-33.407225,-0.744361,0.894610,-7.379935
26 Jan 2024 06:40:06.278,-5389.525107,-4741.933853,-36.758876,-0.750133,0.889972,-7.379807
26 Jan 2024 09:00:00.000,3381.770345,4038.962133,-4974.789377,4.409405,2.796089,5.240687
26 Jan 2024 19:22:11.590,5391.718336,4843.518501,-12.758519,0.769607,-0.858137,7.309494
27 Jan 2024 07:13:28.523,5349.641037,4889.719523,-12.721448,0.776399,-0.852181,7.309635
27 Jan 2024 09:00:00.000,5327.586509,4427.677362,2109.883843,-0.885726,-2.304430,6.981861
27 Jan 2024 15:41:32.042,5319.352498,4922.467739,-12.588943,0.781140,-0.847972,7.309749
28 Jan 2024 00:09:35.550,5288.856500,4955.047434,-12.558096,0.785945,-0.843671,7.309854
28 Jan 2024 09:00:00.000,1776.572203,166.348455,6976.467912,-5.147853,-5.185991,1.394590
28 Jan 2024 10:19:15.751,5251.994114,4993.858876,-12.391376,0.791578,-0.838556,7.310008
29 Jan 2024 00:42:57.660,-5158.349253,-4993.651170,-56.014278,-0.781300,0.863968,-7.378637
29 Jan 2024 09:00:00.000,-3485.970253,-4411.079019,4457.466814,-3.984733,-2.644393,-5.740290
29 Jan 2024 15:57:27.910,-5103.353931,-5050.240296,-60.371452,-0.788423,0.857758,-7.378271
30 Jan 2024 09:00:00.000,-4942.926279,-4390.536034,-2826.564161,1.299946,2.846026,-6.769592
30 Jan 2024 09:44:23.164,5076.042320,5171.282491,-12.045950,0.817812,-0.813851,7.310893
31 Jan 2024 02:40:30.058,5011.684494,5233.063995,-11.862957,0.826986,-0.804874,7.311315
31 Jan 2024 09:00:00.000,-1222.249099,346.004322,-7116.072847,5.010823,5.422758,-0.632096
31 Jan 2024 15:22:35.206,-4928.441243,-5222.569095,-73.586188,-0.810486,0.837883,-7.376892
1 Feb 2024 09:00:00.000,3629.007456,4881.826982,-3947.148226,3.463134,2.354119,6.093199
1 Feb 2024 10:51:07.078,4887.249479,5348.220207,-11.650106,0.844267,-0.787382,7.312195
2 Feb 2024 05:28:50.578,4813.951383,5413.470554,-11.469846,0.854092,-0.777116,7.312788
