"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
6 Jul 2024 21:00:00.000,-4268.808420,5123.746006,397.923241,-4.709007,-4.211600,3.656552
6 Jul 2024 21:00:30.000,-4407.769577,4994.654790,507.357285,-4.554275,-4.393735,3.638316
6 Jul 2024 21:01:00.000,-4542.018095,4860.167730,616.178221,-4.394859,-4.571290,3.615682
6 Jul 2024 21:01:30.000,-4671.415996,4720.425115,724.254506,-4.230930,-4.744073,3.588678
6 Jul 2024 21:02:00.000,-4795.830484,4575.572953,831.455493,-4.062661,-4.911895,3.557335
6 Jul 2024 21:02:30.000,-4915.134078,4425.762823,937.651590,-3.890234,-5.074574,3.521692
6 Jul 2024 21:03:00.000,-5029.204737,4271.151710,1042.714419,-3.713830,-5.231932,3.481791
6 Jul 2024 21:03:30.000,-5137.925985,4111.901840,1146.516964,-3.533638,-5.383797,3.437681
6 Jul 2024 21:04:00.000,-5241.187021,3948.180510,1248.933727,-3.349848,-5.530002,3.389415
6 Jul 2024 21:04:30.000,-5338.882831,3780.159915,1349.840874,-3.162655,-5.670388,3.337050
6 Jul 2024 21:05:00.000,-5430.914292,3608.016969,1449.116378,-2.972258,-5.804800,3.280650
6 Jul 2024 21:05:30.000,-5517.188271,3431.933120,1546.640168,-2.778857,-5.933091,3.220281
6 Jul 2024 21:06:00.000,-5597.617717,3252.094164,1642.294271,-2.582657,-6.055118,3.156016
6 Jul 2024 21:06:30.000,-5672.121752,3068.690052,1735.962957,-2.383864,-6.170746,3.087933
6 Jul 2024 21:07:00.000,-5740.625748,2881.914685,1827.532875,-2.182689,-6.279847,3.016112
6 Jul 2024 21:07:30.000,-5803.061400,2691.965718,1916.893198,-1.979344,-6.382300,2.940641
6 Jul 2024 21:08:00.000,-5859.366796,2499.044343,2003.935748,-1.774041,-6.477989,2.861610
6 Jul 2024 21:08:30.000,-5909.486470,2303.355086,2088.555137,-1.566998,-6.566808,2.779113
6 Jul 2024 21:09:00.000,-5953.371458,2105.105587,2170.648886,-1.358432,-6.648656,2.693251
6 Jul 2024 21:09:30.000,-5990.979344,1904.506383,2250.117551,-1.148561,-6.723440,2.604125
6 Jul 2024 21:10:00.000,-6022.274299,1701.770683,2326.864845,-0.937607,-6.791075,2.511844
6 Jul 2024 21:10:30.000,-6047.227111,1497.114147,2400.797753,-0.725789,-6.851483,2.416518
6 Jul 2024 21:11:00.000,-6065.815214,1290.754654,2471.826642,-0.513330,-6.904595,2.318262
6 Jul 2024 21:11:30.000,-6078.022699,1082.912069,2539.865372,-0.300451,-6.950346,2.217194
6 Jul 2024 21:12:00.000,-6083.840327,873.808018,2604.831400,-0.087376,-6.988684,2.113436
6 Jul 2024 21:12:30.000,-6083.265533,663.665647,2666.645876,0.125673,-7.019560,2.007112
6 Jul 2024 21:13:00.000,-6076.302421,452.709392,2725.233737,0.338475,-7.042937,1.898350
6 Jul 2024 21:13:30.000,-6062.961755,241.164743,2780.523799,0.550806,-7.058782,1.787281
6 Jul 2024 21:14:00.000,-6043.260950,29.258006,2832.448844,0.762447,-7.067073,1.674038
6 Jul 2024 21:14:30.000,-6017.224048,-182.783933,2880.945695,0.973176,-7.067794,1.558757
6 Jul 2024 21:15:00.000,-5984.881694,-394.733853,2925.955301,1.182774,-7.060938,1.441578
6 Jul 2024 21:15:30.000,-5946.271101,-606.364437,2967.422804,1.391022,-7.046506,1.322641
6 Jul 2024 21:16:00.000,-5901.436011,-817.448519,3005.297607,1.597705,-7.024506,1.202089
6 Jul 2024 21:16:30.000,-5850.426645,-1027.759319,3039.533443,1.802605,-6.994957,1.080067
6 Jul 2024 21:17:00.000,-5793.299646,-1237.070692,3070.088425,2.005511,-6.957883,0.956723
6 Jul 2024 21:17:30.000,-5730.118024,-1445.157368,3096.925106,2.206212,-6.913317,0.832205
6 Jul 2024 21:18:00.000,-5660.951082,-1651.795191,3120.010521,2.404498,-6.861300,0.706664
6 Jul 2024 21:18:30.000,-5585.874345,-1856.761363,3139.316237,2.600164,-6.801882,0.580251
6 Jul 2024 21:19:00.000,-5504.969484,-2059.834681,3154.818383,2.793006,-6.735120,0.453118
6 Jul 2024 21:19:30.000,-5418.324220,-2260.795784,3166.497685,2.982824,-6.661079,0.325420
6 Jul 2024 21:20:00.000,-5326.032241,-2459.427386,3174.339489,3.169421,-6.579833,0.197311
6 Jul 2024 21:20:30.000,-5228.193092,-2655.514514,3178.333777,3.352604,-6.491462,0.068945
6 Jul 2024 21:21:00.000,-5124.912073,-2848.844739,3178.475183,3.532181,-6.396055,-0.059522
6 Jul 2024 21:21:30.000,-5016.300128,-3039.208407,3174.763001,3.707968,-6.293708,-0.187935
6 Jul 2024 21:22:00.000,-4902.473727,-3226.398865,3167.201183,3.879782,-6.184525,-0.316138
6 Jul 2024 21:22:30.000,-4783.554748,-3410.212683,3155.798344,4.047444,-6.068618,-0.443977
6 Jul 2024 21:23:00.000,-4659.670348,-3590.449877,3140.567752,4.210781,-5.946104,-0.571296
6 Jul 2024 21:23:30.000,-4530.952836,-3766.914135,3121.527316,4.369624,-5.817110,-0.697941
6 Jul 2024 21:24:00.000,-4397.539527,-3939.413026,3098.699569,4.523807,-5.681769,-0.823758
6 Jul 2024 21:24:30.000,-4259.572608,-4107.758221,3072.111646,4.673171,-5.540221,-0.948594
6 Jul 2024 21:25:00.000,-4117.198978,-4271.765701,3041.795249,4.817562,-5.392613,-1.072298
6 Jul 2024 21:25:30.000,-3970.570099,-4431.255959,3007.786615,4.956830,-5.239099,-1.194718
6 Jul 2024 21:26:00.000,-3819.841836,-4586.054200,2970.126471,5.090831,-5.079839,-1.315707
6 Jul 2024 21:26:30.000,-3665.174290,-4735.990536,2928.859987,5.219426,-4.915001,-1.435117
6 Jul 2024 21:27:00.000,-3506.731638,-4880.900175,2884.036728,5.342483,-4.744756,-1.552801
6 Jul 2024 21:27:30.000,-3344.681954,-5020.623606,2835.710593,5.459874,-4.569284,-1.668618
6 Jul 2024 21:28:00.000,-3179.197039,-5155.006781,2783.939754,5.571479,-4.388770,-1.782425
6 Jul 2024 21:28:30.000,-3010.452236,-5283.901288,2728.786588,5.677182,-4.203405,-1.894083
6 Jul 2024 21:29:00.000,-2838.626247,-5407.164523,2670.317604,5.776874,-4.013385,-2.003457
6 Jul 2024 21:29:30.000,-2663.900940,-5524.659846,2608.603361,5.870453,-3.818911,-2.110412
6 Jul 2024 21:30:00.000,-2486.461165,-5636.256740,2543.718386,5.957823,-3.620191,-2.214818
6 Jul 2024 21:30:30.000,-2306.494557,-5741.830955,2475.741082,6.038894,-3.417435,-2.316546
6 Jul 2024 21:31:00.000,-2124.191348,-5841.264654,2404.753639,6.113583,-3.210860,-2.415473
6 Jul 2024 21:31:30.000,-1939.744166,-5934.446551,2330.841938,6.181813,-3.000685,-2.511477
6 Jul 2024 21:32:00.000,-1753.347841,-6021.272045,2254.095446,6.243515,-2.787137,-2.604440
6 Jul 2024 21:32:30.000,-1565.199195,-6101.643354,2174.607118,6.298625,-2.570445,-2.694247
6 Jul 2024 21:33:00.000,-1375.496836,-6175.469633,2092.473279,6.347087,-2.350841,-2.780789
6 Jul 2024 21:33:30.000,-1184.440938,-6242.667091,2007.793515,6.388853,-2.128563,-2.863958
6 Jul 2024 21:34:00.000,-992.233027,-6303.159088,1920.670549,6.423882,-1.903851,-2.943652
6 Jul 2024 21:34:30.000,-799.075757,-6356.876230,1831.210115,6.452139,-1.676947,-3.019773
6 Jul 2024 21:35:00.000,-605.172697,-6403.756451,1739.520830,6.473597,-1.448097,-3.092227
6 Jul 2024 21:35:30.000,-410.728112,-6443.745081,1645.714062,6.488238,-1.217549,-3.160924
6 Jul 2024 21:36:00.000,-215.946747,-6476.794920,1549.903794,6.496048,-0.985553,-3.225780
