"Time (UTCG)","Semi-major Axis (km)","Eccentricity","Inclination (deg)","RAAN (deg)","Arg of Perigee (deg)","True Anomaly (deg)","Mean Anomaly (deg)"
6 Jul 2024 21:00:00.000,6680.519170,0.000435,28.507,3.758,103.574,263.311,263.361
6 Jul 2024 21:00:30.000,6680.475629,0.000487,28.506,3.758,103.734,265.139,265.195
6 Jul 2024 21:01:00.000,6680.420415,0.000540,28.506,3.757,104.244,266.616,266.678
6 Jul 2024 21:01:30.000,6680.353783,0.000591,28.505,3.757,105.008,267.840,267.907
6 Jul 2024 21:02:00.000,6680.276200,0.000642,28.505,3.757,105.958,268.878,268.951
6 Jul 2024 21:02:30.000,6680.188299,0.000692,28.504,3.756,107.043,269.780,269.859
6 Jul 2024 21:03:00.000,6680.090806,0.000741,28.503,3.756,108.228,270.583,270.668
6 Jul 2024 21:03:30.000,6679.984448,0.000789,28.503,3.755,109.486,271.314,271.405
6 Jul 2024 21:04:00.000,6679.869884,0.000836,28.502,3.755,110.796,271.992,272.088
6 Jul 2024 21:04:30.000,6679.747683,0.000882,28.501,3.754,112.146,272.631,272.731
6 Jul 2024 21:05:00.000,6679.618346,0.000926,28.500,3.753,113.525,273.240,273.346
6 Jul 2024 21:05:30.000,6679.482360,0.000969,28.499,3.752,114.925,273.830,273.940
6 Jul 2024 21:06:00.000,6679.340255,0.001010,28.498,3.750,116.339,274.405,274.520
6 Jul 2024 21:06:30.000,6679.192645,0.001051,28.497,3.749,117.761,274.973,275.093
6 Jul 2024 21:07:00.000,6679.040233,0.001089,28.495,3.747,119.184,275.539,275.664
6 Jul 2024 21:07:30.000,6678.883785,0.001126,28.494,3.745,120.604,276.110,276.238
6 Jul 2024 21:08:00.000,6678.724102,0.001162,28.493,3.743,122.014,276.690,276.822
6 Jul 2024 21:08:30.000,6678.561987,0.001196,28.492,3.741,123.411,277.284,277.420
6 Jul 2024 21:09:00.000,6678.398249,0.001228,28.490,3.739,124.790,277.896,278.036
6 Jul 2024 21:09:30.000,6678.233714,0.001259,28.489,3.736,126.147,278.531,278.673
6 Jul 2024 21:10:00.000,6678.069252,0.001288,28.488,3.734,127.478,279.191,279.337
6 Jul 2024 21:10:30.000,6677.905789,0.001316,28.487,3.731,128.780,279.882,280.030
6 Jul 2024 21:11:00.000,6677.744302,0.001342,28.485,3.728,130.047,280.606,280.757
6 Jul 2024 21:11:30.000,6677.585769,0.001366,28.484,3.724,131.277,281.369,281.523
6 Jul 2024 21:12:00.000,6677.431122,0.001389,28.483,3.721,132.465,282.174,282.330
6 Jul 2024 21:12:30.000,6677.281184,0.001411,28.482,3.717,133.609,283.023,283.181
6 Jul 2024 21:13:00.000,6677.136645,0.001431,28.481,3.714,134.708,283.918,284.077
6 Jul 2024 21:13:30.000,6676.998061,0.001450,28.480,3.710,135.759,284.861,285.021
6 Jul 2024 21:14:00.000,6676.865886,0.001468,28.479,3.706,136.763,285.851,286.012
6 Jul 2024 21:14:30.000,6676.740524,0.001484,28.478,3.701,137.720,286.889,287.052
6 Jul 2024 21:15:00.000,6676.622362,0.001500,28.477,3.697,138.627,287.976,288.139
6 Jul 2024 21:15:30.000,6676.511796,0.001515,28.476,3.693,139.487,289.112,289.276
6 Jul 2024 21:16:00.000,6676.409216,0.001529,28.475,3.688,140.297,290.297,290.461
6 Jul 2024 21:16:30.000,6676.314980,0.001542,28.474,3.683,141.057,291.532,291.696
6 Jul 2024 21:17:00.000,6676.229397,0.001555,28.474,3.678,141.769,292.817,292.981
6 Jul 2024 21:17:30.000,6676.152715,0.001568,28.473,3.674,142.432,294.150,294.314
6 Jul 2024 21:18:00.000,6676.085147,0.001580,28.472,3.668,143.047,295.531,295.694
6 Jul 2024 21:18:30.000,6676.026906,0.001592,28.472,3.663,143.615,296.960,297.122
6 Jul 2024 21:19:00.000,6675.978248,0.001603,28.472,3.658,144.137,298.434,298.596
6 Jul 2024 21:19:30.000,6675.939480,0.001615,28.471,3.653,144.615,299.954,300.114
6 Jul 2024 21:20:00.000,6675.910948,0.001627,28.471,3.648,145.048,301.518,301.677
6 Jul 2024 21:20:30.000,6675.892982,0.001639,28.471,3.643,145.439,303.125,303.282
6 Jul 2024 21:21:00.000,6675.885832,0.001652,28.471,3.637,145.791,304.771,304.927
6 Jul 2024 21:21:30.000,6675.889612,0.001666,28.471,3.632,146.106,306.454,306.607
6 Jul 2024 21:22:00.000,6675.904283,0.001680,28.471,3.627,146.389,308.168,308.320
6 Jul 2024 21:22:30.000,6675.929678,0.001695,28.471,3.622,146.647,309.910,310.058
6 Jul 2024 21:23:00.000,6675.965556,0.001711,28.472,3.617,146.883,311.672,311.818
6 Jul 2024 21:23:30.000,6676.011670,0.001728,28.472,3.611,147.103,313.450,313.594
6 Jul 2024 21:24:00.000,6676.067814,0.001747,28.473,3.606,147.312,315.240,315.381
6 Jul 2024 21:24:30.000,6676.133826,0.001766,28.473,3.601,147.515,317.036,317.173
6 Jul 2024 21:25:00.000,6676.209563,0.001787,28.474,3.597,147.717,318.833,318.967
